"","ord","sentiment"
"1","absolutt","pos"
"2","absolutta","pos"
"3","absolutte","pos"
"4","absoluttene","pos"
"5","absolutter","pos"
"6","absoluttet","pos"
"7","absorber","pos"
"8","absorbere","pos"
"9","absorberende","pos"
"10","absorberer","pos"
"11","absorberes","pos"
"12","absorbert","pos"
"13","absorberte","pos"
"14","aerodynamisk","pos"
"15","aerodynamiske","pos"
"16","affinitet","pos"
"17","affiniteten","pos"
"18","affinitetene","pos"
"19","affiniteter","pos"
"20","akklamasjon","pos"
"21","akklamasjonen","pos"
"22","akklamasjonene","pos"
"23","akklamasjoner","pos"
"24","aktelse","pos"
"25","aktelsen","pos"
"26","aktsomhet","pos"
"27","aktsomheta","pos"
"28","aktsomheten","pos"
"29","aktverdig","pos"
"30","aktverdige","pos"
"31","aktverdigere","pos"
"32","aktverdigst","pos"
"33","aktverdigste","pos"
"34","allsidig","pos"
"35","allsidige","pos"
"36","altruistisk","pos"
"37","altruistiske","pos"
"38","alvor","pos"
"39","alvoret","pos"
"40","alvorlig","pos"
"41","alvorlige","pos"
"42","alvorligere","pos"
"43","alvorligst","pos"
"44","alvorligste","pos"
"45","alvorsfull","pos"
"46","alvorsfulle","pos"
"47","alvorsfullt","pos"
"48","ambisiøs","pos"
"49","ambisiøse","pos"
"50","ambisiøst","pos"
"51","ambisjon","pos"
"52","ambisjonen","pos"
"53","ambisjonene","pos"
"54","ambisjoner","pos"
"55","anbefal","pos"
"56","anbefale","pos"
"57","anbefalende","pos"
"58","anbefaler","pos"
"59","anbefales","pos"
"60","anbefaling","pos"
"61","anbefalinga","pos"
"62","anbefalingen","pos"
"63","anbefalingene","pos"
"64","anbefalinger","pos"
"65","anbefalt","pos"
"66","anbefalte","pos"
"67","anerkjenn","pos"
"68","anerkjenne","pos"
"69","anerkjennelse","pos"
"70","anerkjennelsen","pos"
"71","anerkjennende","pos"
"72","anerkjenner","pos"
"73","anerkjennes","pos"
"74","anerkjent","pos"
"75","anerkjente","pos"
"76","animer","pos"
"77","animere","pos"
"78","animerende","pos"
